Airport Code,ICAO,Place
SQA,KIZA,Santa Ynez
SQB,,Santa Ana
SQC,YSCR,Southern Cross
SQD,ZSSR,Shangrao Sanqingshan Airport
SQE,,San Luis De Pale
SQF,,Solano
SQG,WIOS,Sorong Airport
SQH,VVNS,Na-San
SQI,KSQI,Whiteside County
SQJ,ZSSM,Sanming Shaxian Airport
SQK,,Sidi Barani
SQL,KSQL,San Carlos
SQM,SWUA,São Miguel de Aragao
SQN,WAPN,Sanana
SQO,ESUD,Gunnarn
SQQ,EYSA,Siauliai International Airport
SQR,WAWS,Inco Soroako Waws
SQS,MZCF,Matthew Spain
SQT,AYCS,China Straits Airstrip
SQU,SPOA,Saposoa
SQV,W28,Sequim Valley Airport
SQW,EKSV,Skive Airport
SQX,SSOE,Sao Miguel do Oeste
SQY,SSRU,Sao Lourenco Do Sul
SQZ,EGXP,Scampton RAF Station
SRA,SSZR,Santa Rosa
SRB,SLSR,Santa Rosa
SRC,,Searcy
SRD,SLRA,San Ramon
SRE,SLAL,Juana Azurduy de Padilla International Airport
SRF,,Hamilton Field
SRG,WAHS,Achmad Yani International Airport
SRH,FTTA,Sarh
SRI,,Temindung Airport
SRJ,SLSB,Capitan G Q Guardia
SRL,,Santa Rosalia
SRM,,Sandringham
SRN,YSRN,Strahan
SRO,,Santana Ramos
SRP,ENSO,Stord Airport
SRQ,KSRQ,Sarasota Bradenton International Airport
SRR,YDUN,Dunwich
SRS,SKSR,Cartagena
SRT,HUSO,Soroti
SRU,,Skypark
SRV,SRV,Stony River
SRW,KRUQ,Rowan County
SRX,HLGD,Sert
SRY,OINZ,Dashte Naz Airport
SRZ,SLET,El Trompillo
SSA,SBSV,Deputado Luis Eduardo Magalhaes International Airport
SSB,VI32,SPB
SSC,KSSC,Shaw AFB
SSD,SCSF,San Felipe
SSE,VASL,Sholapur
SSF,KSSF,Stinson Municipal Airport
SSG,FGSL,Malabo Airport
SSH,HESH,Sharm El Sheikh Airport
SSI,KSSI,Malcolm Mckinnon
SSJ,ENST,Stokka Airport
SSK,,Sturt Creek
SSL,SKSL,Santa Rosalia
SSM,KANJ,Sault Ste Marie Municipal Airport
SSN,RKSM,Seoul AB
SSO,SNLO,Sao Lourenco
SSP,YSVP,Silver Plains
SSQ,CSR8,La Sarre
SSR,NVSH,Sara
SSS,,Siassi
SST,SAZL,Santa Teresita
SSU,,Greenbrier
SSV,,Siasi
SSW,7WA5,Stuart Island
SSX,FASP,Samsun Samair Airport
SSY,FNBC,M'banza Congo
SSZ,SBST,Santos
STA,EKVJ,Stauning Vestjyllands Airport
STB,SVSZ,L Delicias
STC,KSTC,Saint Cloud Regional
STD,SVSO,Mayo Guerrero
STE,KSTE,Stevens Point
STF,YSTI,Stephen Island
STG,PAPB,St. George Island Airport
STH,YSMR,Strathmore
STI,MDST,Cibao International Airport
STJ,KSTJ,Rosecrans Memorial
STK,KSTK,Crosson Field
STL,KSTL,Lambert-St. Louis International Airport
STM,SBSN,Santarem-Maestro Wilson Fonseca Airport
STN,EGSS,Stansted Airport
STP,KSTP,St. Paul Downtown Airport
STQ,KOYM,St Marys
STR,EDDS,Stuttgart Airport
STS,KSTS,Sonoma County Airport
STT,TIST,Cyril E. King Airport
STU,,Santa Cruz
STV,VASU,Surat Gujarat Airport
STW,URMT,Stavropol Airport
STX,TISX,Henry E. Rohlsen Airport
STY,SUSO,Salto
STZ,SWST,Confresa
SUA,KSUA,Witham Field
SUB,WARR,Juanda International Airport
SUC,,Schloredt
SUD,KSUD,Stroud
SUE,KSUE,Door County
SUF,LICA,Lamezia Terme International Airport
SUG,RPMS,Surigao Airport
SUH,,Sur
SUI,UGSS,Babusheri
SUJ,LRSM,Satu Mare International Airport
SUK,UEBS,Sakkyryr Airport
SUL,OPSU,Sui
SUM,KSMS,Sumter Municipal Airport
SUN,KSUN,Friedman Memorial Airport
SUO,S21,Sun River
SUP,WART,Trunojoyo
SUQ,SESC,Sucua
SUR,CJV7,Summer Beaver
SUS,KSUS,Spirit of St. Louis Airport
SUT,HTSU,Sumbawanga
SUU,KSUU,Travis AFB
SUV,NFNA,Nausori Airport
SUW,KSUW,Richard I Bong Airport
SUX,KSUX,Sioux Gateway Airport
SUY,UENS,Suntar
SUZ,,Suria
SVA,PASA,Savoonga Airport
SVB,FMNS,Sambava
SVC,KSVC,Grant County Airport
SVD,TVSV,Argyle International Airport
SVE,KSVE,Susanville
SVF,DBBS,Save
SVG,ENZV,Stavanger Airport Sola
SVH,KSVH,Statesville Municipal
SVI,SKSV,San Vicente
SVJ,ENSH,Helle Airport
SVK,MZKT,Silver Creek
SVL,EFSA,Savonlinna Airport
SVM,,St Pauls
SVN,KSVN,Hunter AAF
SVO,UUEE,Sheremetyevo International Airport
SVP,FNKU,Kuito (Silva Porto)
SVQ,LEZL,Seville Airport
SVS,SVS,Stevens Village
SVT,FBSV,Savuti
SVU,NFNS,Savusavu Airport
SVV,,San Salvador De
SVW,PASV,Sparrevohn AFS
SVX,USSS,Koltsovo International Airport
SVY,,Savo
SVZ,SVSA,San Antonio
SWA,ZGOW,Jieyang Chaoshan Airport
SWB,,Shaw River
SWC,YSWL,Stawell
SWD,PAWD,Seward
SWE,AYEW,Siwea
SWF,KSWF,Stewart International Airport
SWG,AYSW,Satwag
SWH,YSWH,Swan Hill
SWJ,NVSX,South West Bay
SWL,RPSV,Spanish Wells
SWM,,Suia-Missu
SWN,OPSW,Sahiwal
SWO,KSWO,Searcy Field
SWP,FYSM,Swakopmund
SWQ,WADS,Sultan Muhammad Kaharuddin III Airport
SWR,AYZI,Silur
SWS,EGFH,Swansea Airport
SWT,UNSS,Strezhevoy Airport
SWU,RKSW,Suwon
SWV,UHMW,Severo-Evensk Airport
SWW,KSWW,Sweetwater
SWX,FBSW,Shakawe
SWY,WMBA,Sitiawan
SXA,AYQS,Sialum
SXB,LFST,Strasbourg Airport
SXC,,Avalo Vor/WP
SXE,YWSL,Sale
SXF,,Schonefeld Airport
SXG,FLSN,Senanga
SXH,AYSL,Sehulea
SXI,OIBS,Sirri Island
SXJ,ZWSS,Shanshan
SXK,WAPI,Saumlaki Olilit Airport
SXL,EISG,Sligo
SXM,TNCM,Princess Juliana International Airport
SXN,FBSN,Suapan
SXO,SWFX,Sao Felix Do Araguaia
SXP,,Sheldon Sea Plane Base
SXQ,PASX,Soldotna
SXR,VISR,Srinagar International Airport
SXS,WBKH,Sahabat 16
SXT,WMAN,Taman Negara
SXU,HASD,Soddu
SXV,VOSM,Salem
SXW,AYSV,Sauren
SXX,SNFX,Sao Felix Do Xingu
SXY,N23,Sidney
SXZ,LTCL,Siirt Airport
SYA,PASY,Shemya AFB
SYB,,Seal Bay
SYC,SPSY,Shiringayoc
SYD,YSSY,Sydney (Kingsford Smith) Airport
SYE,OYSH,Sadah
SYF,,Silva Bay
SYH,VNSB,Syangboche
SYI,KSYI,Bomar Field
SYJ,OIKY,Sirjan
SYK,BIST,Stykkisholmur
SYL,,Roberts AAF
SYM,ZPSM,Pu'er Simao Airport
SYN,KSYN,Carleton
SYO,RJSY,Shonai Airport
SYP,MPSA,Santiago
SYQ,MRPV,Tobias Bolaños International
SYR,KSYR,Hancock International Airport
SYS,UERS,Saskylakh Airport
SYT,LFLN,Charolais Bourgogne S.
SYU,YWBS,Warraber Island
SYV,KSYV,Sylvester
SYW,OPSN,Sehwen Sharif
SYX,ZJSY,Sanya Phoenix International Airport
SYY,EGPO,Stornoway Airport
SYZ,OISS,Shiraz International Airport
SZA,FNSO,Soyo Airport
SZB,WMSA,Sultan Abdul Aziz Shah Airport
SZC,,Guanacaste
SZE,HASM,Semera Airport
SZF,LTFH,Samsun-Carsamba Airport
SZG,LOWS,W. A. Mozart Salzburg Airport
SZH,,Senipah
SZI,UASZ,Zaisan
SZJ,MUSN,Siguanea
SZK,FASZ,Skukuza Airport
SZL,KSZL,Whiteman AFB
SZM,FYSS,Sesriem
SZN,KSZN,Santa Cruz Island
SZP,KSZP,Oxnard
SZQ,,Saenz Pena
SZR,LBSZ,Stara Zagora
SZS,NZRC,Stewart Island
SZT,,San Cristobal Airport
SZU,,Segou
SZV,ZSSZ,Suzhou
SZW,EDOP,Parchim Airport
SZX,ZGSZ,Shenzhen Bao'an International Airport
SZY,EPSY,Olsztyn-Mazury Airport
SZZ,EPSC,Goleniow Airport
TAA,,Tarapaina
TAB,TTCP,A.N.R. Robinson International Airport
TAC,RPVA,D. Z. Romualdez Airport
TAD,KTAD,Las Animas
TAE,RKTN,Daegu International Airport
TAF,DAOL,Tafaraoui
TAG,RPVT,Bohol-Panglao
TAH,NVVW,Tanna Airport
TAI,OYTZ,Al Janad
TAJ,AYTJ,Tadji
TAK,RJOT,Takamatsu Airport
TAL,PATA,Ralph Calhoun
TAM,MMTM,Tampico International Airport
TAN,YTGA,Tangalooma
TAO,ZSQD,Qingdao Liuting International Airport
TAP,MMTP,Tapachula International Airport
TAQ,YTAR,Tarcoola
TAR,LIBG,M. A. Grottag
TAS,UTTT,Yuzhny Airport
TAT,LZTT,Poprad/Tatry Airport
TAU,SKTA,Tauramena
TAV,,Tau Island Airport
TAW,SUTB,Tacuarembo
TAX,WAPT,Taliabu
TAY,EETU,Tartu Airport
TAZ,UTAT,Dashoguz
TBA,,Tabibuga
TBB,VVTH,Tuy Hoa Airport
TBC,,Tuba City
TBD,,Timbiqui
TBE,AYTV,Timbunke
TBF,NGTE,Tabiteuea North
TBG,AYTB,Tabubil Airport
TBH,RPVU,Romblon
TBI,MYCB,New Bright
TBJ,DTKA,Tabarka
TBK,YTBR,Timber Creek
TBL,YTAB,Tableland
TBM,WAOW,Tumbang Samba
TBN,KTBN,Forney AAF
TBO,HTTB,Tabora Airport
TBP,SPME,Capitan FAP Pedro Canga Rodriguez Airport
TBQ,AYTR,Tarabo
TBR,KTBR,Statesboro-Bulloch County Airport
TBS,UGTB,Tbilisi International Airport
TBT,SBTT,Tabatinga International Airport
TBU,NFTF,Fua'amotu International Airport
TBV,,Tabal
TBW,UUOT,Tambov Donskoye Airport
TBX,,Tambelan Airport
TBY,FBTS,Tsabong
TBZ,OITT,Tabriz Airport
TCA,YTNK,Tennant Creek
TCB,MYAT,Treasure Cay Airport
TCC,KTCC,Tucumcari
TCD,SKRA,Tarapaca
TCE,LRTC,Tulcea
TCF,,Tocoa
TCG,ZWTC,Tacheng
TCH,FOOT,Tchibanga
TCI,,Terney Airport
TCJ,AYVM,Torembi Airport
TCK,AYYL,Tinboli Airport
TCL,KTCL,Van De Graaf
TCM,KTCM,McChord AFB
TCN,MMHC,Tehuacan
TCO,SKCO,La Florida Airport
TCP,HETB,Taba International
TCQ,SPTN,Tacna Airport
TCR,VOTK,Tuticorin Airport
TCS,KTCS,Truth or Consequences
TCT,PPCT,Takotna
TCU,FATN,Thaba Nchu
TCV,MYTC,Torch Cay Airport
TCW,YTOC,Tocumwal
TCX,OIMT,Tabas
TCY,FYTE,Terrace Bay
TCZ,ZUTC,Tengchong Tuofeng Airport
TDA,SKTD,Trinidad
TDB,AYTF,Tetabedi
TDD,SLTR,Teniente Jorge Henrich Arauz Airport
TDG,RPMW,Tandag
TDJ,HDTJ,Tadjoura
TDK,UAAT,Taldy-Kurgan
TDL,SAZT,Tandil
TDN,YTHD,Theda Station
TDO,KTDO,Winlock
TDP,SPDR,Trompeteros
TDR,YTDR,Theodore
TDS,AYSS,Sasereme
TDT,FATD,Tanda Tula
TDV,FMSN,Tanandava
TDW,KTDW,Tradewind
TDX,VTBO,Trat Airport
TDZ,KTDZ,Toledo
TEA,MHTE,Tela
TEB,KTEB,Teterboro Airport
TEC,SSVL,Telemaco Borba
TED,EKTS,Thisted
TEE,DABS,Cheikh Larbi Tebessi Airport
TEF,YTEF,Telfer Airport
TEG,DFET,Tenkodogo
TEH,,Tetlin
TEI,VETJ,Tezu
TEK,PAKA,Tatitlek
TEL,WBKE,Telupid
TEM,YTEM,Temora
TEN,ZUTR,Tongren Airport
TEO,AYTY,Terapo
TEP,AYTP,Teptep
TEQ,LTBU,Corlu
TER,LPLA,Lajes Field
TES,HHTS,Tessenei
TET,FQTT,Matundo Airport
TEU,NZMO,Manapouri
TEV,LETL,Teruel Airport
TEX,KTEX,Telluride Regional
TEY,BITE,Thingeyri
TEZ,VETZ,Tezpur Airport
TFB,AYTH,Tifalmin
TFF,SBTF,Tefe Airport
TFI,AYTU,Tufi
TFL,SNTO,Teofilo Otoni
TFM,AYTE,Telefomin
TFN,GCXO,Tenerife North Airport
TFR,,Ramadan
TFS,GCTS,Tenerife South Airport
TFT,OPTT,Taftan
TFU,ZUTF,Chengdu Tianfu International Airport
TFY,WILP,Muhammad Taufiq Kiemas Airport
TGA,WSAT,Tengah Air Base
TGB,,Tagbita
TGC,WBGT,Tanjung Manis Airport
TGD,LYPG,Podgorica Airport
TGE,AL73,Sharpe Field
TGG,WMKN,Sultan Mahmud Airport
TGH,NVST,Tongoa
TGI,SPGM,Tingo Maria
TGJ,NWWA,Tiga
TGK,URRT,Taganrog
TGL,AYTG,Tagula
TGM,LRTM,Transilvania
TGN,YLTV,La Trobe Regional
TGO,ZBTL,Tongliao Airport
TGP,UNIP,Podkamennaya Tunguska Airport
TGQ,SWTS,Tangara da Serra
TGR,DAUK,Touggourt Airport
TGS,,Chokwe
TGT,HTTG,Tanga Airport
TGU,MHTG,Toncontin Airport
TGV,LBTG,Targovishte
TGZ,MMTG,Angel Albino Corzo International Airport
THA,KTHA,Tullahoma/William Northern Field
THB,FXTA,Thaba-Tseka
THC,GLTN,Tchien
THD,VVTX,Bai Thuong Airport
THE,SBTE,Teresina Airport
THG,YTNG,Thangool
THH,NZTS,Taharoa
THI,GQNC,Tichitt
THK,VLTK,Thakhek
THL,VYTL,Tachilek Airport
THM,KTHM,Thompsonfield
THN,ESGT,Trollhattan Airport
THO,BITN,Thorshofn
THP,KHSG,Hot Springs
THQ,ZLTS,Maijishan
THR,OIII,Mehrabad International Airport
THS,VTPO,Sukhothai Airport
THT,GQNT,Tamchakett
THU,BGTL,Pituffik Airport
THV,KTHV,York Airport
THW,,Harbour SPB
THX,UOTT,Turukhansk Airport
THY,FATH,Thohoyandou
THZ,DRRT,Tahoua
TIA,LATI,Tirana International Airport
TIB,SKTB,Tibu
TIC,,Tinak Island
TID,DAOB,Bouchekif Abde Al-hafidh Boussof
TIE,HATP,Tippi
TIF,OETF,Taif Airport
TIG,,Tingwon
TIH,NTGC,Tikehau Atoll Airport
TII,OATN,Tirinkot
TIJ,MMTJ,Tijuana Airport
TIK,KTIK,Tinker AFB
TIL,CFQ4,Inverlake
TIM,WAYY,Timika Airport
TIN,DAOF,Tindouf Airport
TIO,VYHN,Tilin
TIP,HLLT,Tripoli International Airport
TIQ,PGWT,Tinian International
TIR,VOTP,Tirupati Airport
TIS,,Thursday Island
TIU,NZTU,Timaru Airport
TIV,LYTV,Tivat Airport
TIW,KTIW,Industrial
TIX,KTIX,Space Coast Regional
TIY,GQND,Tidjikja
TIZ,AYTA,Tari Airport
TJA,SLTJ,Capitan Oriel Lea Plaza Airport
TJB,WIBT,Tanjung Balai
TJC,,Ticantiki
TJG,WAON,Tanjung Warukin
TJH,RJBT,Tajima
TJI,MHTJ,Capiro
TJK,LTAW,Tokat
TJL,SBTG,Três Lagoas Airport
TJM,USTR,Roshchino International Airport
TJN,NTKM,Takume
TJQ,WIKT,Bulutumbang Airport
TJS,WALG,Tanjung Selor
TJU,UTDK,Kulyab Airport
TJV,VOTJ,Thanjavur
TKA,PATK,Talkeetna
TKB,AYTZ,Tekadu
TKC,FKKC,Tiko
TKD,DGTK,Takoradi Airport
TKE,TKE,Tenakee SPB
TKF,KTRK,Truckee-Tahoe
TKG,WILL,Radin Inten II Airport
TKH,VTPI,Nakhon Sawan
TKI,57A,Tokeen
TKJ,PFTO,Tok
TKK,PTKK,Chuuk International Airport
TKL,TKL,Taku SPB
TKM,,El Peten
TKN,RJKN,Tokunoshima
TKO,FXTK,Tlokoeng
TKP,NTGT,Takapoto
TKQ,HTKA,Kigoma Airport
TKR,VGSG,Thakurgaon
TKS,RJOS,Tokushima Awaodori Airport
TKT,VTPT,Tak
TKU,EFTU,Turku Airport
TKV,NTGO,Tatakoto
TKW,AYTN,Tekin
TKX,NTKR,Takaroa
TKY,YTKY,Turkey Creek
TKZ,NZTO,Tokoroa
TLA,PATE,Teller Airport
TLB,OPTA,Tarbela
TLC,MMTO,Toluca International Airport
TLD,FBLV,Limpopo Valley
TLE,FMST,Tulear
TLF,2K5,Telida
TLG,,Tulagi Island
TLH,KTLH,Tallahassee International Airport
TLI,WAMI,Tolitoli
TLJ,PATL,Tatalina AFS
TLK,UECT,Talakan
TLL,EETN,Tallinn Airport
TLM,DAON,Zenata Airport
TLN,LFTH,Hyeres Airport
TLO,AYXO,Tol
TLP,AYQL,Tumolbil
TLQ,ZWTP,Turpan Jiaohe Airport
TLR,KTLR,Mefford Field
TLS,LFBO,Toulouse-Blagnac Airport
TLT,TLT,Tuluksak Airport
TLU,SKTL,Tolu
TLV,LLBG,Ben Gurion International Airport
TLW,AYVL,Talasea
TLX,SCTL,Talca
TLY,UHWP,Plastun Airport
TLZ,SWKT,Catalao
TMA,KTMA,Henry Tift Myers
TMB,KTMB,Tamiami
TMC,WATK,Tambolaka Airport
TMD,GQNH,Timbedra
TME,SKTM,Gabriel Vargas Santos Airport
TMF,VRNT,Thimarafushi Airport
TMG,WBKM,Tomanggong
TMH,WAKT,Tanahmerah
TMI,VNTR,Tumling Tar Airport
TMJ,UTST,Termez Airport
TMK,,Tamky
TML,DGLE,Tamale Airport
TMM,FMMT,Tamatave
TMN,NGTM,Tamana Island
TMO,SVTM,Tumeremo
TMP,EFTP,Tampere-Pirkkala Airport
TMQ,DFEM,Tambao
TMR,DAAT,Aguenar - Hadj Bey Akhamok Airport
TMS,FPST,Sao Tome Island Airport
TMT,SBTB,Trombetas
TMU,MRTR,Tambor Airport
TMW,YSTW,Tamworth Airport
TMX,DAUT,Timimoun Airport
TMY,,Tiom
TMZ,NZTH,Thames
TNA,ZSJN,Jinan Yaoqiang International Airport
TNB,WRLH,Tanah Grogot
TNC,PATC,Tin City Afs
TND,MUTD,Trinidad
TNE,RJFG,Tanegashima
TNF,LFPN,Toussus-le-noble
TNG,GMTT,Tangier Ibn Battouta Airport
TNH,ZYTN,Tonghua Sanyuanpu Airport
TNI,VIST,Satna
TNJ,WIDN,Kidjang Airport
TNK,4KA,Tununak
TNL,,Ternopol
TNM,SCRM,Teniente R. Marsh Martin
TNN,RCNN,Tainan Airport
TNO,MRTM,Tamarindo
TNP,KTNP,Twentynine Palms
TNQ,PLWN,Teraina
TNR,FMMI,Antananarivo Airport
TNS,CBX5,Tungsten
TNT,KTNT,Dade Collier
TNU,KTNU,Newton Municipal Airport
TNV,PLFA,Tabuaeran
TNW,SEJD,Jumandy
TNX,VDST,Stung Treng
TNZ,ZMTL,Tosontsengel
TOA,KTOA,Torrance Airport
TOB,HLGN,Tobruk
TOC,KTOC,Toccoa RG Letourneau Field
TOD,WMBT,Tioman
TOE,DTTZ,Tozeur Airport
TOF,UNTT,Tomsk Airport
TOG,PATG,Togiak Village
TOH,NVSD,Torres Airstrip
TOI,KTOI,Troy Municipal Airport
TOJ,LETO,Torrejon AFB
TOK,,Torokina
TOL,KTOL,Toledo Express Airport
TOM,GATB,Tombouctou
TON,AYVO,Tonu
TOO,MRSV,San Vito
TOP,KTOP,Philip Billard
TOQ,SCBE,Barriles
TOR,KTOR,Torrington Municipal Airport
TOS,ENTC,Tromso/Langnes Airport
TOT,SMCO,Coronie
TOU,NWWU,Touho
TOV,,West End SPB
TOW,SBTD,Toledo
TOX,USTO,Tobolsk
TOY,RJNT,Toyama Airport
TOZ,DITM,Touba
TPA,KTPA,Tampa International Airport
TPC,SETR,Tarapoa
TPE,RCTP,Taiwan Taoyuan International Airport
TPF,KTPF,Peter O'Knight
TPG,WMBI,Taiping
TPH,KTPH,Tonopah Airport
TPI,AYTI,Tapini
TPJ,VNTJ,Taplejung Suketar
TPK,WITA,Tapaktuan
TPL,KTPL,Draughon-miller Central Texas Regional
TPN,SETI,Tiputini
TPO,,Tanalian Point
TPP,SPST,Cad. FAP Guillermo del Castillo Paredes Airport
TPQ,MMEP,Tepic Airport
TPR,YTMP,Tom Price
TPS,LICT,Trapani-Birgi Airport
TPT,,Tapeta
TPU,VNTP,Tikapur
TPX,NTTU,Tupai
TQD,ORAT,Al Taqaddum AB
TQL,USDS,Tarko-Sale
TQN,OATQ,Taluqan
TQO,MMTL,Aeropuerto Internacional de Tulum Felipe Carrillo Puerto
TQP,YTEE,Trepell Airport
TQQ,WA44,Maranggo Airport
TQR,,San Domino Island
TQS,SKTQ,Tres Esquinas
TRA,RORT,Tarama
TRB,SKTU,Gonzalo
TRC,MMTC,Francisco Sarabia International Airport
TRD,ENVA,Trondheim Airport Vaernes
TRE,EGPU,Tiree Airport
TRF,ENTO,Torp Sandefjord Airport
TRG,NZTG,Tauranga City Airport
TRH,L72,Trona
TRI,KTRI,Tri-Cities Regional Airport
TRJ,AYTT,Tarakbits
TRK,WAQQ,Juwata International Airport
TRL,KTRL,Terrell Field
TRM,KTRM,Thermal
TRN,LIMF,Turin Airport
TRO,YTRE,Taree Airport
TRP,,Tree Point Heliport
TRQ,SBTK,Tarauaca
TRR,VCCT,China Bay
TRS,LIPQ,Trieste - Friuli Venezia Giulia Airport
TRT,,Tremonton
TRU,SPRU,Trujillo Airport
TRV,VOTV,Trivandrum International Airport
TRW,NGTA,Bonriki Airport
TRX,,Memorial
TRY,HUTO,Tororo
TRZ,VOTR,Tiruchirapalli International Airport
TSA,RCSS,Taipei Songshan Airport
TSB,FYTM,Tsumeb
TSC,SETH,Taisha
TSD,,Tshipise
TSF,LIPH,Treviso Airport
TSG,TSG,Intermediate
TSH,FZUK,Tshikapa
TSI,,Tsili Tsili
TSJ,RJDT,Tsushima Airport
TSK,,Taskul
TSL,MMTN,Tamuin
TSM,KSKX,Taos
TSN,ZBTJ,Tianjin Binhai International Airport
TSO,,Tresco
TSP,KTSP,Kern County
TSQ,SBTR,Torres
TSR,LRTR,Timisoara Traian Vuia International Airport
TSS,,East 34th St Heliport
TST,VTST,Trang Airport
TSU,NGTS,Tabiteuea South
TSV,YBTL,Townsville Airport
TSW,AYTS,Tsewi
TSX,WALT,Tanjung Santan
TSY,WICM,Tasikmalaya
TSZ,ZMTG,Tsetserleg
TTA,GMAT,Tan Tan Airport
TTB,LIET,Arbatax
TTC,SCTT,Taltal
TTD,KTTD,Troutdale
TTE,WAEE,Babullah Airport
TTG,SAST,Tartagal
TTH,OOTH,Thumrait
TTI,NTTE,Tetiaroa Island
TTJ,RJOR,Tottori Airport
TTL,NFUL,Turtle Island
TTM,,Tablon De Tamara
TTN,KTTN,Trenton-Mercer Airport
TTO,KBTN,Britton Municipal Airport
TTQ,MRAO,Tortuquero
TTR,WAWT,Tana Toraja
TTS,FMNT,Tsaratanana
TTT,RCFN,Taitung Airport
TTU,GMTN,Sania Ramel
TTW,,Tissa Tank
TTX,YTST,Mungalalu Truscott Airbase
TUA,SETU,Tulcan
TUB,NTAT,Tubuai
TUC,SANT,Benj Matienzo
TUD,GOTT,Tambacounda
TUE,,Tupile
TUF,LFOT,Val de Loire Airport
TUG,RPUT,Tuguegarao Airport
TUH,,Arnold AFS
TUI,OETR,Turaif Airport
TUJ,,Tum
TUK,OPTU,Turbat Airport
TUL,KTUL,Tulsa International Airport
TUM,YTMU,Tumut
TUN,DTTA,Tunis-Carthage International Airport
TUO,NZAP,Taupo Airport
TUP,KTUP,Tupelo Regional Airport
TUQ,DFOT,Tougan
TUR,SBTU,Tucurui
TUS,KTUS,Tucson International Airport
TUT,,Tauta
TUU,OETB,Tabuk Regional Airport
TUV,SVTC,Tucupita
TUW,,Tubala
TUX,CBX7,Tumbler Ridge
TUY,MMTU,Tulum
TUZ,,Tucuma
TVA,FMMR,Morafenobe
TVC,KTVC,Cherry Capital Airport
TVF,KTVF,Thief River Falls Regional Airport
TVI,KTVI,Thomasville Municipal Airport
TVL,KTVL,South Lake Tahoe
TVS,ZBTS,Tangshan Sannuhe Airport
TVU,NFNM,Matei Airport
TVY,VYDW,Dawe Airport
TWA,A63,Twin Hills
TWB,YTWB,Toowoomba
TWC,,Tumxuk Tangwangcheng Airport
TWD,K0S9,Port Townsend
TWE,AK49,Taylor
TWF,KTWF,Magic Valley Regional Airport
TWH,,Two Harbors
TWN,,Tewantin
TWP,,Torwood
TWT,RPMN,Tawitawi
TWU,WBKW,Tawau Airport
TWY,AYTW,Tawa
TWZ,NZUK,Pukaki/Twizel
TXC,UMIO,Balbasovo Air Base
TXE,WITK,Rembele Airport
TXF,SNTF,Teixeira de Freitas Airport
TXG,,Taichung
TXK,KTXK,Texarkana Municipal Airport
TXL,EDDT,Tegel Airport
TXM,WAST,Teminabuan
TXN,ZSTX,Huangshan Tunxi International Airport
TXR,YTNB,Tanbar
TXU,DITB,Tabou
TYA,UUBT,Tula
TYB,YTIB,Tibooburra
TYC,ZBXX,Taiyuan Yaocheng Airport
TYD,UHBW,Tynda Airport
TYE,TYE,Tyonek
TYF,ESST,Torsby Airport
TYG,YTHY,Thylungra
TYL,SPYL,Captain FAP Victor Montes Arias Airport
TYM,MYES,Staniel Cay
TYN,ZBYN,Taiyuan Wusu International Airport
TYP,YTMY,Tobermorey
TYR,KTYR,Tyler Pounds Regional Airport
TYS,KTYS,McGhee Tyson Airport
TYT,SUTR,Treinta-y-Tres
TYZ,KTYL,Taylor
TZA,MZBE,Municipal
TZC,KCFS,Tuscola Area
TZL,LQTZ,Tuzla International Airport
TZM,MM72,Tizimin
TZN,MYAK,South Andros
TZO,,Tsimiroro
TZX,LTCG,Trabzon Airport
UAB,LTAG,Adana-Incirlik Airbase
UAC,MM76,San Luis Rio Colorado
UAE,AYAE,Mount Aue
UAH,NTMU,Ua Huka
UAI,WPDB,Suai
UAK,BGBW,Narsarsuaq Airport
UAL,FNUA,Luau
UAM,PGUA,Andersen AFB
UAP,NTMP,Ua Pou
UAQ,SANU,San Juan Airport
UAR,GMFB,Bouarfa
UAS,HKSB,Samburu
UAX,MGUX,Uaxactun
UBA,SBUR,Uberaba Airport
UBB,YMAA,Mabuiag Island
UBI,AYUI,Buin
UBJ,RJDC,Yamaguchi Ube Airport
UBN,ZMCK,New Ulaanbaatar International Airport
UBP,VTUU,Ubon Ratchathani International Airport
UBR,WAJU,Ubrub
UBS,KUBS,Lowndes County
UBT,SDUB,Ubatuba
UBU,YKAL,Kalumburu
UCA,,Oneida County
UCB,ZBUC,Ulanqab Jining Airport
UCC,NV11,Yucca Flat
UCE,4R7,Eunice
UCK,UKLC,Lutsk
UCN,GLBU,Buchanan
UCT,UUYH,Ukhta Airport
UCY,KUCY,Everett-Stewart
UDA,YUDA,Undarra
UDD,KUDD,Bermuda Dunes
UDE,,Volkel
UDI,SBUL,Uberlandia-Ten. Cel. Av. Cesar Bombonato Airport
UDJ,UKLU,Uzhgorod
UDN,LIPD,Airfield
UDO,,Udomxay
UDR,VAUD,Maharana Pratap Airport
UEE,YQNS,Queenstown
UEL,FQQL,Quelimane Airport
UEN,USDU,Urengoy
UEO,ROKJ,Kume-jima Airport
UER,,Puertollano
UES,KUES,Waukesha
UET,OPQT,Quetta Airport
UFA,UWUU,Ufa International Airport
UGA,ZMBN,Bulgan
UGB,UGB,Ugashik Bay
UGC,UTNU,Urgench Airport
UGI,,Uganik
UGL,SCGC,Union Glacier Blue-Ice Runway
UGN,KUGN,Memorial
UGO,FNUG,Uige
UGS,9A8,Ugashik
UGT,ZMBR,Umnugobitour
UGU,WABV,Zugapa
UHE,LKKU,Kunovice
UHS,,Aleksandrovsk-Sakhalinskiy Airport
